2022-04-08 21:45:02,279 Namespace(cfg='experiments/coco/resnet50/256x192_d256x3_adam_lr1e-3_caffe.yaml', frequent=100, gpus=None, workers=None)
2022-04-08 21:45:02,286 {'CUDNN': {'BENCHMARK': True, 'DETERMINISTIC': False, 'ENABLED': True},
 'DATASET': {'DATASET': 'coco',
             'DATA_FORMAT': 'jpg',
             'FLIP': True,
             'HYBRID_JOINTS_TYPE': '',
             'ROOT': 'data/coco/',
             'ROT_FACTOR': 40,
             'SCALE_FACTOR': 0.3,
             'SELECT_DATA': False,
             'TEST_SET': 'val2017',
             'TRAIN_SET': 'train2017'},
 'DATA_DIR': '',
 'DEBUG': {'DEBUG': True,
           'SAVE_BATCH_IMAGES_GT': True,
           'SAVE_BATCH_IMAGES_PRED': True,
           'SAVE_HEATMAPS_GT': True,
           'SAVE_HEATMAPS_PRED': True},
 'GPUS': '0',
 'LOG_DIR': 'log',
 'LOSS': {'USE_TARGET_WEIGHT': True},
 'MODEL': {'EXTRA': {'DECONV_WITH_BIAS': False,
                     'FINAL_CONV_KERNEL': 1,
                     'HEATMAP_SIZE': array([48, 64]),
                     'NUM_DECONV_FILTERS': [256, 256, 256],
                     'NUM_DECONV_KERNELS': [4, 4, 4],
                     'NUM_DECONV_LAYERS': 3,
                     'NUM_LAYERS': 50,
                     'SIGMA': 2,
                     'TARGET_TYPE': 'gaussian'},
           'IMAGE_SIZE': array([192, 256]),
           'INIT_WEIGHTS': True,
           'NAME': 'pose_resnet',
           'NUM_JOINTS': 17,
           'PRETRAINED': 'output/coco/pose_resnet_50/256x192_d256x3_adam_lr1e-3_caffe/checkpoint.pth.tar',
           'STYLE': 'caffe'},
 'OUTPUT_DIR': 'output',
 'PRINT_FREQ': 100,
 'TEST': {'BATCH_SIZE': 32,
          'BBOX_THRE': 1.0,
          'COCO_BBOX_FILE': 'data/coco/person_detection_results/COCO_val2017_detections_AP_H_56_person.json',
          'FLIP_TEST': False,
          'IMAGE_THRE': 0.0,
          'IN_VIS_THRE': 0.2,
          'MODEL_FILE': '',
          'NMS_THRE': 1.0,
          'OKS_THRE': 0.9,
          'POST_PROCESS': True,
          'SHIFT_HEATMAP': True,
          'USE_GT_BBOX': True},
 'TRAIN': {'BATCH_SIZE': 32,
           'BEGIN_EPOCH': 0,
           'CHECKPOINT': '',
           'END_EPOCH': 140,
           'GAMMA1': 0.99,
           'GAMMA2': 0.0,
           'LR': 0.001,
           'LR_FACTOR': 0.1,
           'LR_STEP': [90, 120],
           'MOMENTUM': 0.9,
           'NESTEROV': False,
           'OPTIMIZER': 'adam',
           'RESUME': False,
           'SHUFFLE': True,
           'WD': 0.0001},
 'WORKERS': 4}
2022-04-08 21:45:02,678 => init deconv weights from normal distribution
2022-04-08 21:45:02,678 => init 0.weight as normal(0, 0.001)
2022-04-08 21:45:02,678 => init 0.bias as 0
2022-04-08 21:45:02,748 => init 1.weight as 1
2022-04-08 21:45:02,749 => init 1.bias as 0
2022-04-08 21:45:02,749 => init 3.weight as normal(0, 0.001)
2022-04-08 21:45:02,750 => init 3.bias as 0
2022-04-08 21:45:02,758 => init 4.weight as 1
2022-04-08 21:45:02,758 => init 4.bias as 0
2022-04-08 21:45:02,759 => init 6.weight as normal(0, 0.001)
2022-04-08 21:45:02,759 => init 6.bias as 0
2022-04-08 21:45:02,768 => init 7.weight as 1
2022-04-08 21:45:02,768 => init 7.bias as 0
2022-04-08 21:45:02,768 => init final conv weights from normal distribution
2022-04-08 21:45:02,768 => init 8.weight as normal(0, 0.001)
2022-04-08 21:45:02,768 => init 8.bias as 0
2022-04-08 21:45:02,769 => loading pretrained model output/coco/pose_resnet_50/256x192_d256x3_adam_lr1e-3_caffe/checkpoint.pth.tar
2022-04-08 21:45:44,704 => num_images: 66917
2022-04-08 21:45:48,058 => load 66917 samples
2022-04-08 21:45:48,255 => num_images: 22306
2022-04-08 21:45:49,400 => load 22306 samples
2022-04-08 21:45:52,395 Epoch: [0][0/2092]	Time 2.990s (2.990s)	Speed 10.7 samples/s	Data 1.254s (1.254s)	Loss 5.36434 (5.36434)	Accuracy 0.633 (0.633)
2022-04-08 21:46:16,335 Epoch: [0][100/2092]	Time 0.223s (0.267s)	Speed 143.2 samples/s	Data 0.000s (0.028s)	Loss 2.11427 (4.54816)	Accuracy 0.725 (0.660)
2022-04-08 21:46:40,179 Epoch: [0][200/2092]	Time 0.226s (0.253s)	Speed 141.6 samples/s	Data 0.000s (0.022s)	Loss 7.38754 (4.60910)	Accuracy 0.610 (0.658)
2022-04-08 21:47:03,484 Epoch: [0][300/2092]	Time 0.222s (0.246s)	Speed 143.9 samples/s	Data 0.000s (0.017s)	Loss 3.87911 (4.59098)	Accuracy 0.641 (0.660)
2022-04-08 21:47:26,784 Epoch: [0][400/2092]	Time 0.227s (0.243s)	Speed 141.1 samples/s	Data 0.000s (0.016s)	Loss 4.94088 (4.63479)	Accuracy 0.658 (0.661)
2022-04-08 21:47:50,009 Epoch: [0][500/2092]	Time 0.223s (0.241s)	Speed 143.3 samples/s	Data 0.000s (0.014s)	Loss 3.75041 (4.61345)	Accuracy 0.702 (0.662)
2022-04-08 21:48:13,331 Epoch: [0][600/2092]	Time 0.226s (0.239s)	Speed 141.6 samples/s	Data 0.000s (0.014s)	Loss 3.49871 (4.60679)	Accuracy 0.699 (0.662)
2022-04-08 21:48:36,467 Epoch: [0][700/2092]	Time 0.227s (0.238s)	Speed 140.9 samples/s	Data 0.001s (0.013s)	Loss 4.12262 (4.62048)	Accuracy 0.725 (0.663)
2022-04-08 21:49:00,261 Epoch: [0][800/2092]	Time 0.224s (0.238s)	Speed 142.7 samples/s	Data 0.001s (0.013s)	Loss 5.28282 (4.62335)	Accuracy 0.625 (0.663)
2022-04-08 21:49:24,687 Epoch: [0][900/2092]	Time 0.224s (0.239s)	Speed 142.7 samples/s	Data 0.000s (0.014s)	Loss 4.83043 (4.62077)	Accuracy 0.680 (0.664)
